Weapon Name,Weapon Description,IDN,Weapon Type,Perk Name,Perk Description,Impact,Range,Stability,Reload,Rate of Fire
Assault Rifle,"Standard issue fully-automatic rifle, effective at short to medium range combat.",1,Machine Gun,ADAPTIVE,"Well-rounded, reliable and sturdy.",0.37,0.48,0.52,0.55,0.47
Submachine Gun,"Rapid firing submachine gun best suided for tight, close-quarters combat.",2,Machine Gun,DROP-MAG,"Magazine drops on reload, wasting ammunition but increases reload speed.",0.08,0.25,0.33,0.85,0.90
Plasma Repeater,Rapid-fire plasma rifle effective against shielded targets. Sustained fire can temporarily overheat the weapon.,3,Machine Gun,BATTERY PACK,This weapon uses a battery for ammunition and doesn?t require a reload.,0.47,0.32,0.70,0.47,0.36
Scattershot,Hard-hitting energy rifle that fires smart-bolts which can track targets & explode on impact.,4,Machine Gun,TRACKING PROJECTILES,Projectiles will track & home-in on the targets position.,0.66,0.27,0.45,0.50,0.57
Pulse Rifle,Standard issue burst-fire rifle that can excel at any engagement range.,5,Rifle,ADAPTIVE,"Well-rounded, reliable and sturdy.",0.45,0.55,0.60,0.52,0.45
Marksman Rifle,"Powerful, slow firing semi-automatic rifle best used at high-mid to long range combat.",6,Rifle,REVERSE BLOOM,"After firing, this weapon pricision becomes unpredictable for a moment before returning to precise accuracy again.",0.65,0.70,0.30,0.50,0.35
Ion Rifle,Adaptive rifle renowned for its versatility in a series of combat scenarios. Projectiles are coated in a radioactive isotope that can change properties based on the weapon's firemode.,7,Rifle,MULTIFIRE,This weapon has multiple firing modes.,0.38,0.45,0.70,0.63,0.58
Bolt Action Rifle,Retrofitted bolt action rifle to support current-gen ammunition without sacrificing its functionality. More suited in close-quarters combat due to the lacking of a scope.,8,Rifle,ARMOUR-PIERCING ROUNDS,High caliber projectiles that deal more damage to shields as well as overpenetrate targets.,0.88,0.20,0.40,0.75,0.25
Handcannon,Standard issue semi-automatic heavy pistol. Effective at low-mid range engagements.,9,Pistol,ADAPTIVE,"Well-rounded, reliable and sturdy.",0.30,0.35,0.55,0.53,0.48
Magnum,"Light, rapid-firing pistol made for CQB engagements.",10,Pistol,HAIRPIN TRIGGER,Fires the weapon both when the trigger is pressed and when it is released.,0.20,0.15,0.60,0.65,0.80
Revolver,Old fashioned pistol that requires each round to be manually chambered after firing.,11,Pistol,ADVANCED HIPFIRE GRIP,Ergonomic grips that increase accuracy and stability when firing from the hip.,0.38,0.25,0.50,0.45,0.60
Grenade Launcher,Multi-shot 40mm launcher that can lob projectiles in an arc formation. The grenades can be bounced to reach around cover.,12,Power Weapon,UNDEFINED,0,0.80,0.40,0.20,0.30,0.55
Shotgun,The perfect close-quarters tool. The Shotgun's always there when you need her.,13,Power Weapon,FLECHETTE ROUNDS,Wide-spread pellets fire from the weapons barrel with higher damage at close quarters.,0.70,0.15,0.40,0.60,0.45
Focus Rifle,Directed-energy weapon that fires a beam that requires a short charge cycle before being fired. Will automatically fire if the charge is held for too long.,14,Power Weapon,BATTERY PACK,This weapon uses a battery for ammunition and doesn?t require a reload.,0.50,0.45,0.35,0.80,1.00
Sniper Rifle,"Long range, slow-firing sniper rifle whose hard-hitting projectiles are lethal to both infantry and vehicle combatants.",15,Power Weapon,MULTIZOOM,This weapon can do multiple zoom magnifications.,0.88,0.90,0.45,0.35,0.40
